	class	heikinvx	heikinvy	heikinvz	heikina12	heikina13	heikina23	bunsanvx	bunsanvy	bunsanvz	bunsana12	bunsana13	bunsana23	zheikinvx	zheikinvy	zheikinvz
1	1	0.012818182	-0.00010101	0.000252525	-0.000666667	-0.001777778	-0.001258586	0.01015728	6.35E-05	0.000118694	0.000313495	4.37E-05	0.000122007	0.021464646	0.006464646	0.009323232
2	1	0.013413793	-0.000724138	0.000287356	0.000701149	-0.002126437	-0.001202299	0.011596564	4.99E-05	0.000124779	0.000253405	4.02E-05	9.20E-05	0.021141414	0.005060606	0.008333333
3	1	0.001585859	-0.000969697	-0.00010101	0.000585859	-0.001474747	-0.001343434	0.000286041	3.51E-05	0.000128454	0.000232384	3.16E-05	8.37E-05	0.014483516	0.004934066	0.010043956
4	1	0.026151515	0.026272727	-0.001727273	0.004363636	-0.021787879	-0.02369697	0.002939462	0.000568198	0.00061832	0.001776898	0.000623864	0.000280999	0.015659341	0.010406593	0.007725275
5	1	0.010333333	0.012648485	-0.004272727	0.004090909	-0.007030303	-0.011393939	0.004516404	0.000703469	0.001463289	0.00175984	0.000923726	0.000853633	0.055969697	0.021981818	0.033606061
6	1	0.001875	0.0175625	-0.005	-0.008875	0.005125	-0.0090625	0.003063859	0.001183246	0.001017625	0.001239859	0.000840859	0.001031559	0.007428571	0.004516484	0.004637363
7	1	0.0044375	0.02625	-0.006625	-0.000125	-0.002875	-0.022375	0.011437246	0.001162063	0.002361984	0.001120859	0.004170484	0.000839859	0.0734375	0.03075	0.036375
8	2	3.45E-05	0.001413793	-0.000482759	-0.000172414	-0.000551724	-0.001103448	4.45E-06	8.24E-06	5.86E-06	7.38E-06	5.83E-06	6.09E-06	0.000494949	0.00069697	0.000606061
9	2	0.000241379	-0.002275862	0.000448276	0.000275862	-0.001931034	0.000827586	1.36E-05	8.20E-06	1.46E-05	7.79E-06	4.93E-05	1.35E-05	0.00079798	0.000767677	0.000757576
10	3	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0
11	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	3	0	0	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0
