	class	heikinvx	heikinvy	heikinvz	heikina12	heikina13	heikina23	bunsanvx	bunsanvy	bunsanvz	bunsana12	bunsana13	bunsana23	zheikinvx	zheikinvy	zheikinvz
1	1	0.012818182	-0.00010101	0.000252525	-0.000666667	-0.001777778	-0.001258586	0.01015728	6.35E-05	0.000118694	0.000313495	4.37E-05	0.000122007	0.021464646	0.006464646	0.009323232
2	1	0.013413793	-0.000724138	0.000287356	0.000701149	-0.002126437	-0.001202299	0.011596564	4.99E-05	0.000124779	0.000253405	4.02E-05	9.20E-05	0.021141414	0.005060606	0.008333333
3	1	0.001585859	-0.000969697	-0.00010101	0.000585859	-0.001474747	-0.001343434	0.000286041	3.51E-05	0.000128454	0.000232384	3.16E-05	8.37E-05	0.014483516	0.004934066	0.010043956
4	2	0.026151515	0.026272727	-0.001727273	0.004363636	-0.021787879	-0.02369697	0.002939462	0.000568198	0.00061832	0.001776898	0.000623864	0.000280999	0.015659341	0.010406593	0.007725275
5	2	0.010333333	0.012648485	-0.004272727	0.004090909	-0.007030303	-0.011393939	0.004516404	0.000703469	0.001463289	0.00175984	0.000923726	0.000853633	0.055969697	0.021981818	0.033606061
6	3	0.001875	0.0175625	-0.005	-0.008875	0.005125	-0.0090625	0.003063859	0.001183246	0.001017625	0.001239859	0.000840859	0.001031559	0.007428571	0.004516484	0.004637363
7	3	0.0044375	0.02625	-0.006625	-0.000125	-0.002875	-0.022375	0.011437246	0.001162063	0.002361984	0.001120859	0.004170484	0.000839859	0.0734375	0.03075	0.036375
8	4	0.00213	-0.0139	0.00302	0.00186	-0.00237	0.00233	0.001958353	0.01030131	0.0001841	6.61E-05	0.001395253	7.62E-05	0.038090909	0.019787879	0.011181818
9	4	0.0019	-0.01213	0.0038	0.00065	-0.00352	0.00112	0.00195655	0.010300773	0.00018846	5.88E-05	0.00152651	6.35E-05	0.038171717	0.018383838	0.011080808
10	4	0.00385	-0.00253	0.00537	0.00182	-0.005875	0.00107	0.001975168	0.000110029	0.000226553	0.000102288	0.001681407	8.40E-05	0.038484848	0.009010101	0.012747475
11	5	0.00020303	-0.000242424	0.01	0.004515152	-0.004484848	0.000333333	0.007797907	0.000347335	0.000912061	5.12E-05	0.00582025	6.48E-05	0.028073626	0.004307692	0.009604396
12	5	-0.002151515	-0.001151515	0.003666667	0.001757576	-0.002	0.000939394	0.003550189	0.000110856	0.00043598	0.000139941	0.002854061	0.000102663	0.04930303	0.007757576	0.017666667
13	6	0.0018125	0.001125	0.0004375	0.0006875	0.00325	-0.00075	0.002781152	0.000227234	0.000330121	4.91E-05	0.002141938	8.91E-05	0.006758242	0.002131868	0.002450549
14	6	0.0030625	0.005875	0.0049375	-0.0021875	-0.003125	-0.0036875	0.004025059	0.000370984	0.000524559	0.000188277	0.003423234	0.000269715	0.0558125	0.01675	0.0199375
15	7	0.000551724	0.000448276	-0.000517241	0.000482759	-0.003206897	-0.001586207	1.27E-05	3.42E-06	1.93E-05	6.94E-06	5.00E-05	2.24E-05	0.000868687	0.000393939	0.001080808
16	7	0.000275862	0.000758621	-0.000344828	0.000517241	-0.00237931	-0.001137931	1.01E-05	3.77E-06	7.25E-06	8.94E-06	6.97E-05	1.27E-05	0.000787879	0.000424242	0.000808081
17	8	-0.000241379	0.000655172	-0.000724138	-0.000310345	0.000172414	-0.000896552	2.27E-05	8.43E-06	3.00E-05	1.01E-05	6.35E-05	2.60E-05	0.001141414	0.000616162	0.000959596
18	8	0.001689655	0.000758621	-3.45E-05	-0.001413793	-0.001034483	-0.000655172	1.95E-05	1.21E-05	2.40E-05	6.17E-06	5.02E-05	3.67E-05	0.001020202	0.000727273	0.001262626
19	9	0.000448276	-0.000241379	0.000724138	-3.45E-05	-0.000275862	0.001310345	6.45E-06	1.98E-06	0.000005875	6.59E-06	2.63E-05	1.99E-05	0.000575758	0.000313131	0.000737374
20	9	-0.000172414	0.000551724	-0.00037931	0.000310345	-0.000689655	-0.000551724	9.66E-06	1.63E-06	6.37E-06	9.32E-06	1.99E-05	1.53E-05	0.00069697	0.000323232	0.000616162
21	10	3.45E-05	0.001413793	-0.000482759	-0.000172414	-0.000551724	-0.001103448	4.45E-06	8.24E-06	5.86E-06	7.38E-06	5.83E-06	6.09E-06	0.000494949	0.00069697	0.000606061
22	10	0.000241379	-0.002275862	0.000448276	0.000275862	-0.001931034	0.000827586	1.36E-05	8.20E-06	1.46E-05	7.79E-06	4.93E-05	1.35E-05	0.00079798	0.000767677	0.000757576
