co	class	heikinvx	heikinvy	heikinvz	heikina12	heikina13	heikina23	bunsanvx	bunsanvy	bunsanvz	bunsana12	bunsana13	bunsana23	zheikinvx	zheikinvy	zheikinvz
1	1	0.000551724	0.000448276	-0.000517241	0.000482759	-0.003206897	-0.001586207	1.27E-05	3.42E-06	1.93E-05	6.94E-06	5.00E-05	2.24E-05	0.000868687	0.000393939	0.001080808
2	1	0.000275862	0.000758621	-0.000344828	0.000517241	-0.00237931	-0.001137931	1.01E-05	3.77E-06	7.25E-06	8.94E-06	6.97E-05	1.27E-05	0.000787879	0.000424242	0.000808081
3	2	-0.000241379	0.000655172	-0.000724138	-0.000310345	0.000172414	-0.000896552	2.27E-05	8.43E-06	3.00E-05	1.01E-05	6.35E-05	2.60E-05	0.001141414	0.000616162	0.000959596
4	2	0.001689655	0.000758621	-3.45E-05	-0.001413793	-0.001034483	-0.000655172	1.95E-05	1.21E-05	2.40E-05	6.17E-06	5.02E-05	3.67E-05	0.001020202	0.000727273	0.001262626
5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
9	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
10	3	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0
11	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
