	class	heikinvx	heikinvy	heikinvz	heikina12	heikina13	heikina23	bunsanvx	bunsanvy	bunsanvz	bunsana12	bunsana13	bunsana23	zheikinvx	zheikinvy	zheikinvz
1	1	0.000551724	0.000448276	-0.000517241	0.000482759	-0.003206897	-0.001586207	1.27E-05	3.42E-06	1.93E-05	6.94E-06	5.00E-05	2.24E-05	0.000868687	0.000393939	0.001080808
2	1	0.000275862	0.000758621	-0.000344828	0.000517241	-0.00237931	-0.001137931	1.01E-05	3.77E-06	7.25E-06	8.94E-06	6.97E-05	1.27E-05	0.000787879	0.000424242	0.000808081
3	2	0.000448276	-0.000241379	0.000724138	-3.45E-05	-0.000275862	0.001310345	6.45E-06	1.98E-06	0.000005875	6.59E-06	2.63E-05	1.99E-05	0.000575758	0.000313131	0.000737374
4	2	-0.000172414	0.000551724	-0.00037931	0.000310345	-0.000689655	-0.000551724	9.66E-06	1.63E-06	6.37E-06	9.32E-06	1.99E-05	1.53E-05	0.00069697	0.000323232	0.000616162
5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
9	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
10	3	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0
11	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
