	class	heikinvx	heikinvy	heikinvz	heikina12	heikina13	heikina23	bunsanvx	bunsanvy	bunsanvz	bunsana12	bunsana13	bunsana23	zheikinvx	zheikinvy	zheikinvz
1	1	0.000551724	0.000448276	-0.000517241	0.000482759	-0.003206897	-0.001586207	1.27E-05	3.42E-06	1.93E-05	6.94E-06	5.00E-05	2.24E-05	0.000868687	0.000393939	0.001080808
2	1	0.000275862	0.000758621	-0.000344828	0.000517241	-0.00237931	-0.001137931	1.01E-05	3.77E-06	7.25E-06	8.94E-06	6.97E-05	1.27E-05	0.000787879	0.000424242	0.000808081
3	2	3.45E-05	0.001413793	-0.000482759	-0.000172414	-0.000551724	-0.001103448	4.45E-06	8.24E-06	5.86E-06	7.38E-06	5.83E-06	6.09E-06	0.000494949	0.00069697	0.000606061
4	2	0.000241379	-0.002275862	0.000448276	0.000275862	-0.001931034	0.000827586	1.36E-05	8.20E-06	1.46E-05	7.79E-06	4.93E-05	1.35E-05	0.00079798	0.000767677	0.000757576
5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
9	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
10	3	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0
11	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
